"Table S3: The table provides the IMPPAT Phytochemical identifier, Chemical name, SMILES, InChI and QEDw score for the 1335 drug-like phytochemicals in IMPPAT 2.0 identified in this study.",,,,
IMPPAT Phytochemical identifier,Chemical name,SMILES,InChI,QEDw
IMPHY005965,Pareirubrine,COc1c(OC)c2c3C=CC(=O)C(=O)C(=c3c3=c2c(c1OC)cc[nH]3)OC,"InChI=1S/C20H17NO6/c1-24-17-10-7-8-21-15-12(10)13(19(26-3)20(17)27-4)9-5-6-11(22)16(23)18(25-2)14(9)15/h5-8,21H,1-4H3",0.7045
IMPHY006376,Hispidin,Oc1cc(/C=C/c2ccc(c(c2)O)O)oc(=O)c1,"InChI=1S/C13H10O5/c14-9-6-10(18-13(17)7-9)3-1-8-2-4-11(15)12(16)5-8/h1-7,14-16H/b3-1+",0.7041
IMPHY000508,Chiratol,COc1cc(O)c2c(c1)oc1c(c2=O)c(OC)ccc1O,"InChI=1S/C15H12O6/c1-19-7-5-9(17)12-11(6-7)21-15-8(16)3-4-10(20-2)13(15)14(12)18/h3-6,16-17H,1-2H3",0.7037
IMPHY005453,"1,8-Dihydroxy-2,6-dimethoxy-9H-xanthen-9-one",COc1cc(O)c2c(c1)oc1c(c2=O)c(O)c(cc1)OC,"InChI=1S/C15H12O6/c1-19-7-5-8(16)12-11(6-7)21-9-3-4-10(20-2)14(17)13(9)15(12)18/h3-6,16-17H,1-2H3",0.7037
IMPHY005459,Swerchirin,COc1cc(O)c2c(c1)oc1c(c2=O)c(O)ccc1OC,"InChI=1S/C15H12O6/c1-19-7-5-9(17)12-11(6-7)21-15-10(20-2)4-3-8(16)13(15)14(12)18/h3-6,16-17H,1-2H3",0.7037
IMPHY005822,"1,3-Dihydroxy-6,7-dimethoxyxanthone",COc1cc2oc3cc(O)cc(c3c(=O)c2cc1OC)O,"InChI=1S/C15H12O6/c1-19-11-5-8-10(6-12(11)20-2)21-13-4-7(16)3-9(17)14(13)15(8)18/h3-6,16-17H,1-2H3",0.7037
IMPHY006104,"Xanthen-9-one, 6,8-dihydroxy-1,2-dimethoxy-",COc1c(OC)ccc2c1c(=O)c1c(o2)cc(cc1O)O,"InChI=1S/C15H12O6/c1-19-10-4-3-9-13(15(10)20-2)14(18)12-8(17)5-7(16)6-11(12)21-9/h3-6,16-17H,1-2H3",0.7037
IMPHY006671,"1,7-Dihydroxy-3,6-dimethoxy-9H-xanthen-9-one",COc1cc(O)c2c(c1)oc1c(c2=O)cc(c(c1)OC)O,"InChI=1S/C15H12O6/c1-19-7-3-10(17)14-13(4-7)21-11-6-12(20-2)9(16)5-8(11)15(14)18/h3-6,16-17H,1-2H3",0.7037
IMPHY008076,Gentiacaulein,COc1cc(O)c2c(c1)oc1c(c2=O)c(OC)c(cc1)O,"InChI=1S/C15H12O6/c1-19-7-5-9(17)12-11(6-7)21-10-4-3-8(16)15(20-2)13(10)14(12)18/h3-6,16-17H,1-2H3",0.7037
IMPHY012784,"1,3-Dihydroxy-4,5-dimethoxyxanthone",COc1cccc2c1oc1c(OC)c(O)cc(c1c2=O)O,"InChI=1S/C15H12O6/c1-19-10-5-3-4-7-12(18)11-8(16)6-9(17)14(20-2)15(11)21-13(7)10/h3-6,16-17H,1-2H3",0.7037
IMPHY014315,"1,2-Dimethoxy-3,8-dihydroxyxanthone",COc1c(O)cc2c(c1OC)c(=O)c1c(o2)cccc1O,"InChI=1S/C15H12O6/c1-19-14-8(17)6-10-12(15(14)20-2)13(18)11-7(16)4-3-5-9(11)21-10/h3-6,16-17H,1-2H3",0.7037
IMPHY008871,Gravacridonediol methyl ether,COCC(C1Oc2c(C1)c1c(c(c2)O)c(=O)c2c(n1C)cccc2)(O)C,"InChI=1S/C20H21NO5/c1-20(24,10-25-3)16-8-12-15(26-16)9-14(22)17-18(12)21(2)13-7-5-4-6-11(13)19(17)23/h4-7,9,16,22,24H,8,10H2,1-3H3",0.7035
IMPHY014554,"16,17-Dihydro-17beta-hydroxyisomitraphylline",COC(=O)C1[C@H](O)O[C@H]([C@@H]2[C@@H]1C[C@@H]1N(C2)CC[C@]21C(=O)Nc1c2cccc1)C,"InChI=1S/C21H26N2O5/c1-11-13-10-23-8-7-21(14-5-3-4-6-15(14)22-20(21)26)16(23)9-12(13)17(18(24)27-2)19(25)28-11/h3-6,11-13,16-17,19,25H,7-10H2,1-2H3,(H,22,26)/t11-,12-,13+,16-,17?,19+,21-/m0/s1",0.7034
IMPHY009917,(+)-Methyl pachybioside,COC1C[C@@H](OC)[C@@H]([C@H](O1)C)O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O,"InChI=1S/C15H28O8/c1-7-11(16)14(20-5)12(17)15(22-7)23-13-8(2)21-10(19-4)6-9(13)18-3/h7-17H,6H2,1-5H3/t7-,8-,9-,10?,11-,12-,13-,14-,15+/m1/s1",0.7033
IMPHY003007,Dihydrodehydrodiconiferyl alcohol,OCCCc1cc2c(c(c1)OC)O[C@@H]([C@H]2CO)c1ccc(c(c1)OC)O,"InChI=1S/C20H24O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h5-6,8-10,15,19,21-23H,3-4,7,11H2,1-2H3/t15-,19+/m0/s1",0.7032
IMPHY005149,Tashironin A,CC1=C(CCC1)C(=O)O[C@@]12OCC3(C2(C)C(=O)CC2([C@H]1O)[C@H](C)CC[C@]32O)C,"InChI=1S/C22H30O6/c1-12-6-5-7-14(12)16(24)28-22-17(25)20-10-15(23)19(22,4)18(3,11-27-22)21(20,26)9-8-13(20)2/h13,17,25-26H,5-11H2,1-4H3/t13-,17-,18?,19?,20?,21+,22+/m1/s1",0.7028
IMPHY013356,"1,4-Dihydroxy-6,7,8-trimethoxy-2-methylanthraquinone",COc1cc2c(c(c1OC)OC)C(=O)c1c(C2=O)c(O)cc(c1O)C,"InChI=1S/C18H16O7/c1-7-5-9(19)12-13(14(7)20)16(22)11-8(15(12)21)6-10(23-2)17(24-3)18(11)25-4/h5-6,19-20H,1-4H3",0.7023
IMPHY008767,"4H-1-Benzopyran-4-one, 6,7-dihydroxy-2-(3,4,5-trimethoxyphenyl)-",COc1cc(cc(c1OC)OC)c1cc(=O)c2c(o1)cc(c(c2)O)O,"InChI=1S/C18H16O7/c1-22-16-4-9(5-17(23-2)18(16)24-3)14-7-11(19)10-6-12(20)13(21)8-15(10)25-14/h4-8,20-21H,1-3H3",0.7022
IMPHY015946,"5,6-Dihydroxy-3,7,4'-trimethoxyflavone",COc1ccc(cc1)c1oc2cc(OC)c(c(c2c(=O)c1OC)O)O,"InChI=1S/C18H16O7/c1-22-10-6-4-9(5-7-10)17-18(24-3)16(21)13-11(25-17)8-12(23-2)14(19)15(13)20/h4-8,19-20H,1-3H3",0.7022
IMPHY001108,Calycopterin,COc1c(oc2c(c1=O)c(O)c(c(c2OC)OC)OC)c1ccc(cc1)O,"InChI=1S/C19H18O8/c1-23-16-12(21)11-13(22)17(24-2)19(26-4)18(25-3)15(11)27-14(16)9-5-7-10(20)8-6-9/h5-8,20,22H,1-4H3",0.7019
IMPHY001585,Isocaviunin,COc1cc(OC)c(cc1c1coc2c(c1=O)c(O)cc(c2OC)O)OC,"InChI=1S/C19H18O8/c1-23-13-7-15(25-3)14(24-2)5-9(13)10-8-27-19-16(17(10)22)11(20)6-12(21)18(19)26-4/h5-8,20-21H,1-4H3",0.7019
IMPHY001796,"5,7-Dihydroxy-3,3',4',5'-tetramethoxyflavone",COc1c(OC)cc(cc1OC)c1oc2cc(O)cc(c2c(=O)c1OC)O,"InChI=1S/C19H18O8/c1-23-13-5-9(6-14(24-2)18(13)25-3)17-19(26-4)16(22)15-11(21)7-10(20)8-12(15)27-17/h5-8,20-21H,1-4H3",0.7019
IMPHY004768,Tabularin,COc1cc(OC)c(cc1c1cc(=O)c2c(o1)cc(c(c2O)OC)O)OC,"InChI=1S/C19H18O8/c1-23-12-8-15(25-3)14(24-2)5-9(12)13-6-10(20)17-16(27-13)7-11(21)19(26-4)18(17)22/h5-8,21-22H,1-4H3",0.7019
IMPHY004808,"3,5-Dihydroxy-7,3',4',5'-tetramethoxyflavone",COc1cc(O)c2c(c1)oc(c(c2=O)O)c1cc(OC)c(c(c1)OC)OC,"InChI=1S/C19H18O8/c1-23-10-7-11(20)15-12(8-10)27-18(17(22)16(15)21)9-5-13(24-2)19(26-4)14(6-9)25-3/h5-8,20,22H,1-4H3",0.7019
IMPHY004960,Casticin,COc1cc2oc(c3ccc(c(c3)O)OC)c(c(=O)c2c(c1OC)O)OC,"InChI=1S/C19H18O8/c1-23-11-6-5-9(7-10(11)20)17-19(26-4)16(22)14-12(27-17)8-13(24-2)18(25-3)15(14)21/h5-8,20-21H,1-4H3",0.7019
IMPHY005380,Hymenoxin,COc1cc(ccc1OC)c1cc(=O)c2c(o1)c(OC)c(c(c2O)OC)O,"InChI=1S/C19H18O8/c1-23-11-6-5-9(7-13(11)24-2)12-8-10(20)14-15(21)18(25-3)16(22)19(26-4)17(14)27-12/h5-8,21-22H,1-4H3",0.7019
IMPHY005477,Chrysosplenetin,COc1cc2oc(c3ccc(c(c3)OC)O)c(c(=O)c2c(c1OC)O)OC,"InChI=1S/C19H18O8/c1-23-11-7-9(5-6-10(11)20)17-19(26-4)16(22)14-12(27-17)8-13(24-2)18(25-3)15(14)21/h5-8,20-21H,1-4H3",0.7019
IMPHY006084,Araneosol,COc1ccc(cc1)c1oc2c(OC)c(O)c(c(c2c(=O)c1OC)O)OC,"InChI=1S/C19H18O8/c1-23-10-7-5-9(6-8-10)15-18(25-3)13(21)11-12(20)17(24-2)14(22)19(26-4)16(11)27-15/h5-8,20,22H,1-4H3",0.7019
IMPHY006512,Ternatin,COc1cc(ccc1O)c1oc2c(OC)c(OC)cc(c2c(=O)c1OC)O,"InChI=1S/C19H18O8/c1-23-12-7-9(5-6-10(12)20)16-19(26-4)15(22)14-11(21)8-13(24-2)17(25-3)18(14)27-16/h5-8,20-21H,1-4H3",0.7019
IMPHY007750,Caviunin,COc1cc(OC)c(cc1c1coc2c(c1=O)c(O)c(c(c2)O)OC)OC,"InChI=1S/C19H18O8/c1-23-12-7-14(25-3)13(24-2)5-9(12)10-8-27-15-6-11(20)19(26-4)18(22)16(15)17(10)21/h5-8,20,22H,1-4H3",0.7019
IMPHY008461,Junipegenin C,COc1cc(cc(c1OC)OC)c1coc2c(c1=O)c(O)c(c(c2)O)OC,"InChI=1S/C19H18O8/c1-23-13-5-9(6-14(24-2)19(13)26-4)10-8-27-12-7-11(20)18(25-3)17(22)15(12)16(10)21/h5-8,20,22H,1-4H3",0.7019
IMPHY009523,Skullcapflavone II,COc1cccc(c1c1cc(=O)c2c(o1)c(OC)c(c(c2O)OC)OC)O,"InChI=1S/C19H18O8/c1-23-11-7-5-6-9(20)13(11)12-8-10(21)14-15(22)17(24-2)19(26-4)18(25-3)16(14)27-12/h5-8,20,22H,1-4H3",0.7019
IMPHY010073,"5,7-Dihydroxy-3,6,3',4'-tetramethoxyflavone",COc1cc(ccc1OC)c1oc2cc(O)c(c(c2c(=O)c1OC)O)OC,"InChI=1S/C19H18O8/c1-23-11-6-5-9(7-12(11)24-2)17-19(26-4)16(22)14-13(27-17)8-10(20)18(25-3)15(14)21/h5-8,20-21H,1-4H3",0.7019
IMPHY010756,"Quercetagetin-6,7-3',4'-tetramethyl Ether",COc1ccc(cc1OC)c1oc2cc(OC)c(c(c2c(=O)c1O)O)OC,"InChI=1S/C19H18O8/c1-23-10-6-5-9(7-11(10)24-2)18-17(22)15(20)14-12(27-18)8-13(25-3)19(26-4)16(14)21/h5-8,21-22H,1-4H3",0.7019
IMPHY013452,"Myricetin 3,7,3',5'-tetramethyl ether",COc1cc(O)c2c(c1)oc(c(c2=O)OC)c1cc(OC)c(c(c1)OC)O,"InChI=1S/C19H18O8/c1-23-10-7-11(20)15-12(8-10)27-18(19(26-4)17(15)22)9-5-13(24-2)16(21)14(6-9)25-3/h5-8,20-21H,1-4H3",0.7019
IMPHY013660,Dihydroxytetramethoxyflavone,COc1c(O)c2oc(c3ccccc3O)c(c(=O)c2c(c1OC)OC)OC,"InChI=1S/C19H18O8/c1-23-16-11-12(21)17(24-2)14(9-7-5-6-8-10(9)20)27-15(11)13(22)18(25-3)19(16)26-4/h5-8,20,22H,1-4H3",0.7019
IMPHY000762,Trachelogenin,COc1cc(ccc1OC)C[C@H]1COC(=O)[C@]1(O)Cc1ccc(c(c1)OC)O,"InChI=1S/C21H24O7/c1-25-17-7-5-13(9-19(17)27-3)8-15-12-28-20(23)21(15,24)11-14-4-6-16(22)18(10-14)26-2/h4-7,9-10,15,22,24H,8,11-12H2,1-3H3/t15-,21-/m0/s1",0.7017
IMPHY001224,"Methyl 2,6-dihydroxy-4-quinolinecarboxylate",COC(=O)c1cc(=O)[nH]c2c1cc(O)cc2,"InChI=1S/C11H9NO4/c1-16-11(15)8-5-10(14)12-9-3-2-6(13)4-7(8)9/h2-5,13H,1H3,(H,12,14)",0.7016
IMPHY012471,Khellactone,O=c1ccc2c(o1)c1c(cc2)OC(C(C1O)O)(C)C,"InChI=1S/C14H14O5/c1-14(2)13(17)11(16)10-8(19-14)5-3-7-4-6-9(15)18-12(7)10/h3-6,11,13,16-17H,1-2H3",0.7006
IMPHY015093,(-)-trans-Khellactone,O=c1ccc2c(o1)c1c(cc2)OC([C@@H]([C@H]1O)O)(C)C,"InChI=1S/C14H14O5/c1-14(2)13(17)11(16)10-8(19-14)5-3-7-4-6-9(15)18-12(7)10/h3-6,11,13,16-17H,1-2H3/t11-,13+/m0/s1",0.7006
IMPHY014544,alpha-Digiprogenin,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C(=O)C[C@]2([C@]3(O)C(=O)C[C@H]2C(=O)C)C)C1)C,"InChI=1S/C21H28O5/c1-11(22)15-9-17(25)21(26)14-5-4-12-8-13(23)6-7-19(12,2)18(14)16(24)10-20(15,21)3/h4,13-15,18,23,26H,5-10H2,1-3H3/t13-,14+,15-,18+,19-,20+,21+/m0/s1",0.6979
IMPHY014680,10-Hydroxy-16-epi-epi-affinine,OCC1[C@@H]2Cc3c(C(=O)CC1C(=CC)CN2C)[nH]c1c3cc(O)cc1,"InChI=1S/C20H24N2O3/c1-3-11-9-22(2)18-7-15-14-6-12(24)4-5-17(14)21-20(15)19(25)8-13(11)16(18)10-23/h3-6,13,16,18,21,23-24H,7-10H2,1-2H3/t13?,16?,18-/m0/s1",0.6973
IMPHY003000,Meliternatin,COc1c2OCOc2cc2c1c(=O)c(c(o2)c1ccc2c(c1)OCO2)OC,"InChI=1S/C19H14O8/c1-21-18-14-12(6-13-17(18)26-8-25-13)27-16(19(22-2)15(14)20)9-3-4-10-11(5-9)24-7-23-10/h3-6H,7-8H2,1-2H3",0.6957
IMPHY003492,Dihydrozeatin,OC[C@H](CCNc1ncnc2c1[nH]cn2)C,"InChI=1S/C10H15N5O/c1-7(4-16)2-3-11-9-8-10(13-5-12-8)15-6-14-9/h5-7,16H,2-4H2,1H3,(H2,11,12,13,14,15)/t7-/m0/s1",0.6943
IMPHY008136,Cassialactone,COc1cc2cc3CC(C)(O)COC(=O)c3c(c2c(c1)O)O,"InChI=1S/C16H16O6/c1-16(20)6-9-3-8-4-10(21-2)5-11(17)12(8)14(18)13(9)15(19)22-7-16/h3-5,17-18,20H,6-7H2,1-2H3",0.6943
IMPHY007425,Butin,Oc1ccc2c(c1)O[C@@H](CC2=O)c1ccc(c(c1)O)O,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2/t14-/m0/s1",0.6942
IMPHY007483,Dihydrobaicalein,O=C1CC(Oc2c1c(O)c(c(c2)O)O)c1ccccc1,"InChI=1S/C15H12O5/c16-9-6-11(8-4-2-1-3-5-8)20-12-7-10(17)14(18)15(19)13(9)12/h1-5,7,11,17-19H,6H2",0.6942
IMPHY008339,Javanicin I,COC1=CC[C@H]2[C@@](C1=O)(C)[C@H]1C(=O)C(=C(C3=CC(=O)O[C@H](C2)[C@]13C)C)OC,"InChI=1S/C21H24O6/c1-10-12-9-15(22)27-14-8-11-6-7-13(25-4)19(24)20(11,2)18(21(12,14)3)16(23)17(10)26-5/h7,9,11,14,18H,6,8H2,1-5H3/t11-,14-,18-,20+,21-/m1/s1",0.6932
IMPHY003289,Kinetin,c1coc(c1)CNc1ncnc2c1[nH]cn2,"InChI=1S/C10H9N5O/c1-2-7(16-3-1)4-11-9-8-10(13-5-12-8)15-6-14-9/h1-3,5-6H,4H2,(H2,11,12,13,14,15)",0.6926
IMPHY015917,6-Benzyl-2-amino-1H-purine,Nc1nc(Cc2ccccc2)c2c(n1)nc[nH]2,"InChI=1S/C12H11N5/c13-12-16-9(6-8-4-2-1-3-5-8)10-11(17-12)15-7-14-10/h1-5,7H,6H2,(H3,13,14,15,16,17)",0.6926
IMPHY008210,1-[Hydroxy(4-hydroxyphenyl)methyl]-6-methoxyisoquinolin-7-ol,COc1cc2ccnc(c2cc1O)[C@H](c1ccc(cc1)O)O,"InChI=1S/C17H15NO4/c1-22-15-8-11-6-7-18-16(13(11)9-14(15)20)17(21)10-2-4-12(19)5-3-10/h2-9,17,19-21H,1H3/t17-/m0/s1",0.6921
IMPHY013494,Citrinin,C[C@H]1OC=C2C(=C(C)C(=C(C2=O)C(=O)O)O)[C@@H]1C,"InChI=1S/C13H14O5/c1-5-7(3)18-4-8-9(5)6(2)11(14)10(12(8)15)13(16)17/h4-5,7,14H,1-3H3,(H,16,17)/t5-,7-/m1/s1",0.6921
IMPHY000179,Trifolione D,OCC1(CO)CC(=O)C[C@@]2([C@@H]1C[C@H](O)C1=C[C@](CC[C@@H]21)(C)C=C)C,"InChI=1S/C20H30O4/c1-4-18(2)6-5-15-14(10-18)16(24)7-17-19(15,3)8-13(23)9-20(17,11-21)12-22/h4,10,15-17,21-22,24H,1,5-9,11-12H2,2-3H3/t15-,16+,17+,18-,19+/m1/s1",0.6918
IMPHY008670,"Methyl 3,5-dihydroxy-4-methoxybenzoate",COC(=O)c1cc(O)c(c(c1)O)OC,"InChI=1S/C9H10O5/c1-13-8-6(10)3-5(4-7(8)11)9(12)14-2/h3-4,10-11H,1-2H3",0.69
IMPHY009244,Samadera indica B619376K035,OC1C2OC3OCC4(C1C1(C)C(=O)C=C(C1=CC4=O)C)C(C2)C3=O,"InChI=1S/C18H18O6/c1-7-3-11(19)17(2)8(7)5-12(20)18-6-23-16-13(21)9(18)4-10(24-16)14(22)15(17)18/h3,5,9-10,14-16,22H,4,6H2,1-2H3",0.6887
IMPHY000927,"(1S,2R,3S,6R,9S,10R,14R,17S,18R,19S)-12-ethyl-9,19-dihydroxy-17-methoxy-14-methyl-5-oxa-12-azahexacyclo[8.7.2.12,6.01,11.03,9.014,18]icosan-4-one",CO[C@H]1CC[C@@]2([C@@H]3[C@]41C(N(C2)CC)[C@H]([C@H]3O)[C@@]1([C@@H]2[C@H]4C[C@@H](CC1)OC2=O)O)C,"InChI=1S/C22H33NO5/c1-4-23-10-20(2)7-6-13(27-3)22-12-9-11-5-8-21(26,14(12)19(25)28-11)15(18(22)23)16(24)17(20)22/h11-18,24,26H,4-10H2,1-3H3/t11-,12-,13+,14-,15+,16-,17-,18?,20+,21-,22+/m1/s1",0.6886
IMPHY000360,Byakangelicin,COc1c2ccoc2c(c2c1ccc(=O)o2)OC[C@H](C(O)(C)C)O,"InChI=1S/C17H18O7/c1-17(2,20)11(18)8-23-16-14-10(6-7-22-14)13(21-3)9-4-5-12(19)24-15(9)16/h4-7,11,18,20H,8H2,1-3H3/t11-/m1/s1",0.6885
IMPHY013271,Heraclesol,COc1c(OC[C@H](C(O)(C)C)O)c2occc2c2c1ccc(=O)o2,"InChI=1S/C17H18O7/c1-17(2,20)11(18)8-23-16-14(21-3)9-4-5-12(19)24-13(9)10-6-7-22-15(10)16/h4-7,11,18,20H,8H2,1-3H3/t11-/m1/s1",0.6885
IMPHY008235,Glyfoline,COc1c(OC)c(O)c2c(c1OC)n(C)c1c(c2=O)ccc(c1OC)O,"InChI=1S/C18H19NO7/c1-19-11-8(6-7-9(20)15(11)23-2)13(21)10-12(19)16(24-3)18(26-5)17(25-4)14(10)22/h6-7,20,22H,1-5H3",0.6869
IMPHY007530,Ageratone,CC(=O)OCC(=C)c1oc2c(c1)cc(c(c2)O)C(=O)C,"InChI=1S/C15H14O5/c1-8(7-19-10(3)17)14-5-11-4-12(9(2)16)13(18)6-15(11)20-14/h4-6,18H,1,7H2,2-3H3",0.6848
IMPHY017580,Botrydiol,OC[C@H]1[C@H](C)C[C@@H]([C@@H]2[C@@]1(O)[C@@](C)(CO)CC2(C)C)OC(=O)C,"InChI=1S/C17H30O5/c1-10-6-13(22-11(2)20)14-15(3,4)8-16(5,9-19)17(14,21)12(10)7-18/h10,12-14,18-19,21H,6-9H2,1-5H3/t10-,12+,13+,14+,16-,17-/m1/s1",0.6844
IMPHY008922,Cadamine,OCC1c2cncc(c2CC2N1CCc1c2[nH]c2c1cccc2)C(=O)OC,"InChI=1S/C21H21N3O3/c1-27-21(26)16-10-22-9-15-14(16)8-18-20-13(6-7-24(18)19(15)11-25)12-4-2-3-5-17(12)23-20/h2-5,9-10,18-19,23,25H,6-8,11H2,1H3",0.6843
IMPHY009508,(-)-Glycinol,Oc1ccc2c(c1)OC[C@@]1([C@H]2Oc2c1ccc(c2)O)O,"InChI=1S/C15H12O5/c16-8-1-3-10-12(5-8)19-7-15(18)11-4-2-9(17)6-13(11)20-14(10)15/h1-6,14,16-18H,7H2/t14-,15+/m0/s1",0.6813
IMPHY012729,Capillarisin,COc1c(O)cc2c(c1O)c(=O)cc(o2)Oc1ccc(cc1)O,"InChI=1S/C16H12O7/c1-21-16-11(19)6-12-14(15(16)20)10(18)7-13(23-12)22-9-4-2-8(17)3-5-9/h2-7,17,19-20H,1H3",0.6812
IMPHY000487,Sissoidenone,COc1ccccc1/C(=C/C(=O)C)/C1=CC(=O)C(=CC1=O)O,"InChI=1S/C17H14O5/c1-10(18)7-12(11-5-3-4-6-17(11)22-2)13-8-15(20)16(21)9-14(13)19/h3-9,21H,1-2H3/b12-7-",0.6805
IMPHY004058,Abruquinone B,COC1=C(OC)C(=O)C=C(C1=O)[C@H]1COc2c(C1)cc(c(c2OC)OC)OC,"InChI=1S/C20H22O8/c1-23-14-7-10-6-11(9-28-16(10)20(27-5)18(14)25-3)12-8-13(21)17(24-2)19(26-4)15(12)22/h7-8,11H,6,9H2,1-5H3/t11-/m1/s1",0.6801
IMPHY013261,Agatharesinol,OC[C@H]([C@H](c1ccc(cc1)O)/C=C/c1ccc(cc1)O)O,"InChI=1S/C17H18O4/c18-11-17(21)16(13-4-8-15(20)9-5-13)10-3-12-1-6-14(19)7-2-12/h1-10,16-21H,11H2/b10-3+/t16-,17+/m0/s1",0.6793
IMPHY013169,Junosmarin,CC(CC(=O)OC1C(O)c2c(OC1(C)C)ccc1c2oc(=O)cc1)C,"InChI=1S/C19H22O6/c1-10(2)9-14(21)24-18-16(22)15-12(25-19(18,3)4)7-5-11-6-8-13(20)23-17(11)15/h5-8,10,16,18,22H,9H2,1-4H3",0.6792
IMPHY014329,p-Coumaroyl-d-alanine,O=C(N[C@@H](C(=O)O)C)/C=C/c1ccc(cc1)O,"InChI=1S/C12H13NO4/c1-8(12(16)17)13-11(15)7-4-9-2-5-10(14)6-3-9/h2-8,14H,1H3,(H,13,15)(H,16,17)/b7-4+/t8-/m1/s1",0.6792
IMPHY008328,Javanicin P,CO[C@@H]1[C@@H](O)[C@H]2[C@]3(C)[C@H](CC=C(C3=O)OC)C[C@@H]3[C@]2([C@@]([C@H]1C)(O)CC(=O)O3)C,"InChI=1S/C21H30O7/c1-10-16(27-5)15(23)17-19(2)11(6-7-12(26-4)18(19)24)8-13-20(17,3)21(10,25)9-14(22)28-13/h7,10-11,13,15-17,23,25H,6,8-9H2,1-5H3/t10-,11+,13+,15+,16-,17-,19-,20+,21+/m0/s1",0.6789
IMPHY008340,Javanicin H,COC1=CC[C@H]2[C@@](C1=O)(C)[C@H]1[C@H](O)[C@@H](OC)[C@@]([C@H]3[C@@]1([C@@H](C2)OC(=O)C3)C)(C)O,"InChI=1S/C21H30O7/c1-19-10(6-7-11(26-4)17(19)24)8-13-20(2)12(9-14(22)28-13)21(3,25)18(27-5)15(23)16(19)20/h7,10,12-13,15-16,18,23,25H,6,8-9H2,1-5H3/t10-,12-,13-,15+,16-,18-,19+,20-,21+/m1/s1",0.6789
IMPHY006669,"2,12-Dimethoxypicrasa-2,12-diene-1,11,16-trione",COC1=C[C@@H](C)[C@H]2[C@@](C1=O)(C)[C@H]1C(=O)C(=C([C@H]3[C@@]1([C@@H](C2)OC(=O)C3)C)C)OC,"InChI=1S/C22H28O6/c1-10-7-14(26-5)20(25)22(4)12(10)8-15-21(3)13(9-16(23)28-15)11(2)18(27-6)17(24)19(21)22/h7,10,12-13,15,19H,8-9H2,1-6H3/t10-,12+,13+,15-,19+,21-,22+/m1/s1",0.6771
IMPHY011467,Propterol-b,Oc1ccc(cc1)CC(Cc1ccc(cc1O)O)O,"InChI=1S/C15H16O4/c16-12-4-1-10(2-5-12)7-14(18)8-11-3-6-13(17)9-15(11)19/h1-6,9,14,16-19H,7-8H2",0.677
IMPHY001090,Prudomestin,COc1ccc(cc1)c1oc2c(OC)c(O)cc(c2c(=O)c1O)O,"InChI=1S/C17H14O7/c1-22-9-5-3-8(4-6-9)15-14(21)13(20)12-10(18)7-11(19)16(23-2)17(12)24-15/h3-7,18-19,21H,1-2H3",0.6769
IMPHY002545,"5,7,4'-Trihydroxy-3,8-dimethoxyflavone",COc1c(oc2c(c1=O)c(O)cc(c2OC)O)c1ccc(cc1)O,"InChI=1S/C17H14O7/c1-22-15-11(20)7-10(19)12-13(21)17(23-2)14(24-16(12)15)8-3-5-9(18)6-4-8/h3-7,18-20H,1-2H3",0.6769
IMPHY003193,Demethoxysudachitin,COc1c(O)c(OC)c2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,"InChI=1S/C17H14O7/c1-22-16-13(20)12-10(19)7-11(8-3-5-9(18)6-4-8)24-15(12)17(23-2)14(16)21/h3-7,18,20-21H,1-2H3",0.6769
IMPHY004329,Rhamnazin,COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)OC)O,"InChI=1S/C17H14O7/c1-22-9-6-11(19)14-13(7-9)24-17(16(21)15(14)20)8-3-4-10(18)12(5-8)23-2/h3-7,18-19,21H,1-2H3",0.6769
IMPHY004338,Iristectorigenin A,COc1cc(ccc1O)c1coc2c(c1=O)c(O)c(c(c2)O)OC,"InChI=1S/C17H14O7/c1-22-12-5-8(3-4-10(12)18)9-7-24-13-6-11(19)17(23-2)16(21)14(13)15(9)20/h3-7,18-19,21H,1-2H3",0.6769
IMPHY004415,Ombuin,COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)OC,"InChI=1S/C17H14O7/c1-22-9-6-11(19)14-13(7-9)24-17(16(21)15(14)20)8-3-4-12(23-2)10(18)5-8/h3-7,18-19,21H,1-2H3",0.6769
IMPHY004492,Iristectorigenin A,COc1ccc(cc1O)c1coc2c(c1=O)c(O)c(c(c2)O)OC,"InChI=1S/C17H14O7/c1-22-12-4-3-8(5-10(12)18)9-7-24-13-6-11(19)17(23-2)16(21)14(13)15(9)20/h3-7,18-19,21H,1-2H3",0.6769
